cad,singing,ID,date,region
0.0226,1,XC312397,2016-04-01,Cundinamarca
0.207,3,XC312397,2016-04-01,Cundinamarca
0.1488,2,XC312397,2016-04-01,Cundinamarca
0.1035,2,XC312397,2016-04-01,Cundinamarca
0.0614,2,XC312397,2016-04-01,Cundinamarca
0.1624,1,XC331467,2016-04-08,Antioquia
0.1687,2,XC331467,2016-04-08,Antioquia
0.1624,1,XC331467,2016-04-08,Antioquia
0.2062,2,XC331467,2016-04-08,Antioquia
0.1687,3,XC331467,2016-04-08,Antioquia
0.1749,3,XC331467,2016-04-08,Antioquia
0.1424,2,XC331468,2016-04-08,Antioquia
0.1602,2,XC331468,2016-04-08,Antioquia
0.1602,1,XC331468,2016-04-08,Antioquia
0.178,3,XC331468,2016-04-08,Antioquia
0.1424,1,XC331468,2016-04-08,Antioquia
0.1602,3,XC331468,2016-04-08,Antioquia
0.1195,1,XC376458,2017-02-11,Quindio
0.1062,2,XC376458,2017-02-11,Quindio
0.1416,2,XC376458,2017-02-11,Quindio
0.0796,3,XC376458,2017-02-11,Quindio
0.1372,3,XC376458,2017-02-11,Quindio
0.261,3,XC376458,2017-02-11,Quindio
0.0965,2,XC402340,2018-01-13,Boyaca
0.0965,1,XC402340,2018-01-13,Boyaca
0.0724,3,XC402340,2018-01-13,Boyaca
0.14,2,XC402340,2018-01-13,Boyaca
0.3524,3,XC402340,2018-01-13,Boyaca
0.0821,3,XC402340,2018-01-13,Boyaca
0.1014,1,XC402340,2018-01-13,Boyaca
0.1778,3,XC423762,2017-06-14,Tolima
0.147,1,XC423762,2017-06-14,Tolima
0.1367,2,XC423762,2017-06-14,Tolima
0.0923,1,XC423762,2017-06-14,Tolima
0.1128,2,XC423762,2017-06-14,Tolima
0.1422,3,XC423762,2017-06-14,Tolima
0.0238,2,XC432481,2018-07-08,Cundinamarca
0.0309,3,XC432481,2018-07-08,Cundinamarca
0.0523,3,XC432481,2018-07-08,Cundinamarca
0.088,2,XC432481,2018-07-08,Cundinamarca
0.0119,1,XC432481,2018-07-08,Cundinamarca
0.1522,3,XC432481,2018-07-08,Cundinamarca
0.1641,2,XC432481,2018-07-08,Cundinamarca
0.0095,1,XC432481,2018-07-08,Cundinamarca
0.1451,1,XC432481,2018-07-08,Cundinamarca
0.2279,1,XC442567,2018-11-14,Risaralda
0.2326,2,XC442567,2018-11-14,Risaralda
0.0902,1,XC442567,2018-11-14,Risaralda
0.0997,1,XC442567,2018-11-14,Risaralda
0.1946,3,XC442567,2018-11-14,Risaralda
0.1234,3,XC442567,2018-11-14,Risaralda
0.1709,2,XC442567,2018-11-14,Risaralda
0.2089,3,XC442567,2018-11-14,Risaralda
0.1139,2,XC442567,2018-11-14,Risaralda
0.1015,2,XC469911,2019-04-20,Boyaca
0.1385,3,XC469911,2019-04-20,Boyaca
0.2831,1,XC469911,2019-04-20,Boyaca
0.1816,1,XC469911,2019-04-20,Boyaca
0.0739,3,XC469911,2019-04-20,Boyaca
0.1816,2,XC469911,2019-04-20,Boyaca
0.0621,1,XC484121,2019-06-23,Santander
0.0458,2,XC484121,2019-06-23,Santander
0.0589,2,XC484121,2019-06-23,Santander
0.2257,3,XC484121,2019-06-23,Santander
0.1014,1,XC484121,2019-06-23,Santander
0.0785,3,XC484121,2019-06-23,Santander
0.0818,3,XC484121,2019-06-23,Santander
0.1796,2,XC485489,2019-06-22,Boyaca
0.1283,2,XC485489,2019-06-22,Boyaca
0.1386,1,XC485489,2019-06-22,Boyaca
0.2002,1,XC485489,2019-06-22,Boyaca
0.1694,3,XC485489,2019-06-22,Boyaca
0.1283,3,XC485489,2019-06-22,Boyaca
0.1691,2,XC538307,2020-03-10,Risaralda
0.2698,1,XC538307,2020-03-10,Risaralda
0.1973,1,XC538307,2020-03-10,Risaralda
0.157,3,XC538307,2020-03-10,Risaralda
0.2335,2,XC538307,2020-03-10,Risaralda
0.2134,3,XC538307,2020-03-10,Risaralda
0.131,2,XC550983,2020-04-26,Cundinamarca
0.1355,3,XC550983,2020-04-26,Cundinamarca
0.1355,3,XC550983,2020-04-26,Cundinamarca
0.1943,2,XC550983,2020-04-26,Cundinamarca
0.1897,1,XC550983,2020-04-26,Cundinamarca
0.131,1,XC550983,2020-04-26,Cundinamarca
0.122,2,XC550983,2020-04-26,Cundinamarca
0.14,3,XC550983,2020-04-26,Cundinamarca
0.1717,1,XC550983,2020-04-26,Cundinamarca
0.0936,2,XC572620,2020-06-08,Risaralda
0.2496,1,XC572620,2020-06-08,Risaralda
0.1976,1,XC572620,2020-06-08,Risaralda
0.0884,1,XC572620,2020-06-08,Risaralda
0.1404,3,XC572620,2020-06-08,Risaralda
0.2652,2,XC572620,2020-06-08,Risaralda
0.0988,2,XC572620,2020-06-08,Risaralda
0.0988,3,XC572620,2020-06-08,Risaralda
